[[0.02, 0.06, 0.04, 0.005], [64, 36]]
[[0.02, 0.12, 0.02, 0.01], [82, 17]]
[[0.01, 0.16, 0.04, 0.005], [79, 20]]
[[0.005, 0.16, 0.04, 0.015], [75, 25]]
[[0.035, 0.155, 0.04, 0.01], [79, 20]]
[[0.015, 0.17, 0.065, 0.015], [69, 30]]
[[0.055, 0.135, 0.085, 0.01], [66, 33]]
[[0.0, 0.14, 0.095, 0.005], [58, 41]]
[[0.05, 0.13, 0.1, 0.03], [58, 41]]
[[0.01, 0.16, 0.135, 0.01], [53, 46]]
[[0.075, 0.13, 0.125, 0.025], [57, 42]]
[[0.1, 0.14, 0.155, 0.005], [60, 40]]
[[0.095, 0.11, 0.135, 0.025], [56, 43]]
[[0.105, 0.09, 0.135, 0.015], [56, 43]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.005, 0.02, 0.03, 0.01], [38, 61]]
[[0.015, 0.015, 0.005, 0.01], [66, 33]]
[[0.005, 0.06, 0.025, 0.005], [68, 31]]
[[0.01, 0.08, 0.015, 0.01], [78, 21]]
[[0.005, 0.09, 0.04, 0.005], [67, 32]]
[[0.04, 0.045, 0.045, 0.02], [56, 43]]
[[0.005, 0.025, 0.055, 0.01], [31, 68]]
[[0.075, 0.01, 0.015, 0.025], [68, 32]]
[[0.015, 0.08, 0.03, 0.015], [67, 32]]
[[0.01, 0.1, 0.015, 0.015], [78, 21]]
[[0.0, 0.155, 0.04, 0.005], [77, 22]]
[[0.005, 0.16, 0.065, 0.01], [68, 31]]
[[0.01, 0.15, 0.065, 0.015], [66, 33]]
[[0.03, 0.165, 0.045, 0.02], [75, 25]]
[[0.005, 0.155, 0.05, 0.01], [72, 27]]
[[0.025, 0.17, 0.07, 0.005], [72, 27]]
[[0.01, 0.155, 0.07, 0.015], [66, 34]]
[[0.015, 0.155, 0.07, 0.005], [69, 30]]
[[0.015, 0.145, 0.07, 0.005], [68, 31]]
[[0.015, 0.155, 0.085, 0.015], [62, 37]]
[[0.005, 0.155, 0.075, 0.05], [56, 43]]
[[0.02, 0.175, 0.115, 0.08], [49, 50]]
[[0.085, 0.18, 0.135, 0.095], [53, 46]]
[[0.0, 0.0, 0.0, 0.0], [50, 50]]
[[0.005, 0.01, 0.025, 0.02], [25, 75]]
[[0.005, 0.0, 0.01, 0.03], [11, 88]]
[[0.005, 0.035, 0.005, 0.05], [42, 57]]
[[0.005, 0.045, 0.02, 0.025], [52, 47]]
[[0.01, 0.015, 0.01, 0.01], [55, 44]]
[[0.025, 0.0, 0.01, 0.005], [62, 37]]
[[0.02, 0.015, 0.015, 0.025], [46, 53]]
[[0.02, 0.01, 0.025, 0.02], [40, 60]]
[[0.04, 0.005, 0.02, 0.025], [50, 50]]
[[0.03, 0.005, 0.02, 0.005], [58, 41]]
[[0.08, 0.005, 0.025, 0.02], [65, 34]]
[[0.095, 0.01, 0.055, 0.005], [63, 36]]
[[0.06, 0.035, 0.04, 0.015], [63, 36]]
[[0.04, 0.1, 0.07, 0.025], [59, 40]]
[[0.025, 0.145, 0.085, 0.035], [58, 41]]
[[0.01, 0.14, 0.08, 0.05], [53, 46]]
[[0.015, 0.125, 0.065, 0.055], [53, 46]]
[[0.03, 0.145, 0.14, 0.105], [41, 58]]
